act_code,act_name,provision_type,primary_num,secondary_num,canonical_id,display_name,title,status,superseded_reference,source_citation,source_verified_date
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,12,,QSO_1984_ART_12,Article 12,Confidential communications with legal advisers,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 129)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,13,,QSO_1984_ART_13,Article 13,"Production of title deed of witness, not a party","{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 130)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,14,,QSO_1984_ART_14,Article 14,"Production of documents which another person, having possession, could refuse to produce","{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 131)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,15,,QSO_1984_ART_15,Article 15,Witness not excused from answering on ground that answer will criminate,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 132)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,16,,QSO_1984_ART_16,Article 16,Accomplice,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 133)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,17,,QSO_1984_ART_17,Article 17,Competence and number of witnesses,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 134)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,18,,QSO_1984_ART_18,Article 18,Evidence may be given of facts in issue and relevant facts,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 5)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,19,,QSO_1984_ART_19,Article 19,Relevancy of facts forming part of same transaction,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 6)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,20,,QSO_1984_ART_20,Article 20,"Facts which are the occasion, cause or effect of facts in issue","{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 7)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,21,,QSO_1984_ART_21,Article 21,"Motive, preparation and previous or subsequent conduct","{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 8)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
QSO_1984,"Qanun-e-Shahadat Order, 1984",article,22,,QSO_1984_ART_22,Article 22,Facts necessary to explain or introduce relevant facts,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}","Evidence Act, 1872 (Section 9)","Pakistan Code (pakistancode.gov.pk), President's Order No. 10 of 1984; https://pakistancode.gov.pk/pdffiles/administrator01031a2c8cddc523d08a0df0ec37d7d0.pdf",2026-09-23
