act_code,act_name,provision_type,primary_num,secondary_num,canonical_id,display_name,title,status,superseded_reference,source_citation,source_verified_date
CPC_1908,"Code of Civil Procedure, 1908",section,13,,CPC_1908_SEC_13,Section 13,When foreign judgment not conclusive,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1908; https://pakistancode.gov.pk/pdffiles/administrator6598dabbad120033d4d42d717dcf9755.pdf",2026-09-23
CPC_1908,"Code of Civil Procedure, 1908",section,14,,CPC_1908_SEC_14,Section 14,Presumption as to foreign judgment,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1908; https://pakistancode.gov.pk/pdffiles/administrator6598dabbad120033d4d42d717dcf9755.pdf",2026-09-23
CPC_1908,"Code of Civil Procedure, 1908",section,15,,CPC_1908_SEC_15,Section 15,Court in which suits to be instituted,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1908; https://pakistancode.gov.pk/pdffiles/administrator6598dabbad120033d4d42d717dcf9755.pdf",2026-09-23
CPC_1908,"Code of Civil Procedure, 1908",section,16,,CPC_1908_SEC_16,Section 16,Suits to be instituted where subject­matter situate,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1908; https://pakistancode.gov.pk/pdffiles/administrator6598dabbad120033d4d42d717dcf9755.pdf",2026-09-23
CPC_1908,"Code of Civil Procedure, 1908",section,17,,CPC_1908_SEC_17,Section 17,Suits for immoveable property situate within jurisdiction of different Courts,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1908; https://pakistancode.gov.pk/pdffiles/administrator6598dabbad120033d4d42d717dcf9755.pdf",2026-09-23
CPC_1908,"Code of Civil Procedure, 1908",section,18,,CPC_1908_SEC_18,Section 18,"Place of institution of suit where local limits of jurisdiction, of Courts are uncertain","{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1908; https://pakistancode.gov.pk/pdffiles/administrator6598dabbad120033d4d42d717dcf9755.pdf",2026-09-23
CPC_1908,"Code of Civil Procedure, 1908",section,19,,CPC_1908_SEC_19,Section 19,Suits for compensation for wrongs to person or moveables,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1908; https://pakistancode.gov.pk/pdffiles/administrator6598dabbad120033d4d42d717dcf9755.pdf",2026-09-23
CPC_1908,"Code of Civil Procedure, 1908",section,20,,CPC_1908_SEC_20,Section 20,Other suits to be instituted where defendants reside or cause of action arises,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1908; https://pakistancode.gov.pk/pdffiles/administrator6598dabbad120033d4d42d717dcf9755.pdf",2026-09-23
CPC_1908,"Code of Civil Procedure, 1908",section,21,,CPC_1908_SEC_21,Section 21,Objections to jurisdiction,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1908; https://pakistancode.gov.pk/pdffiles/administrator6598dabbad120033d4d42d717dcf9755.pdf",2026-09-23
CPC_1908,"Code of Civil Procedure, 1908",section,22,,CPC_1908_SEC_22,Section 22,Power to transfer suits which may be instituted in more than one Court,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. V of 1908; https://pakistancode.gov.pk/pdffiles/administrator6598dabbad120033d4d42d717dcf9755.pdf",2026-09-23
