act_code,act_name,provision_type,primary_num,secondary_num,canonical_id,display_name,title,status,superseded_reference,source_citation,source_verified_date
DMMA_1939,"Dissolution of Muslim Marriages Act, 1939",section,1,,DMMA_1939_SEC_1,Section 1,Short title and extent,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. VIII of 1939; https://pakistancode.gov.pk/pdffiles/administratorfb32d6015ae887e6d6b85018961842ea.pdf",2026-09-23
DMMA_1939,"Dissolution of Muslim Marriages Act, 1939",section,2,,DMMA_1939_SEC_2,Section 2,"Grounds for decree for dissolution of marriage (disappearance of husband, neglect/failure to provide maintenance, imprisonment, failure to perform marital obligations, impotency, insanity/leprosy/venereal disease, repudiation of marriage before attaining 18 years, cruelty, unequal treatment of co-wives, or any other ground recognized by Muslim Law including Khula)","{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. VIII of 1939; https://pakistancode.gov.pk/pdffiles/administratorfb32d6015ae887e6d6b85018961842ea.pdf",2026-09-23
DMMA_1939,"Dissolution of Muslim Marriages Act, 1939",section,3,,DMMA_1939_SEC_3,Section 3,Notice to be served on heirs of the husband when the husband's whereabouts are not known,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. VIII of 1939; https://pakistancode.gov.pk/pdffiles/administratorfb32d6015ae887e6d6b85018961842ea.pdf",2026-09-23
DMMA_1939,"Dissolution of Muslim Marriages Act, 1939",section,4,,DMMA_1939_SEC_4,Section 4,Effect of conversion to another faith by a married Muslim woman,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. VIII of 1939; https://pakistancode.gov.pk/pdffiles/administratorfb32d6015ae887e6d6b85018961842ea.pdf",2026-09-23
DMMA_1939,"Dissolution of Muslim Marriages Act, 1939",section,5,,DMMA_1939_SEC_5,Section 5,Rights to dower not to be affected by decree of dissolution,"{""federal"": ""in_force"", ""punjab"": ""in_force"", ""sindh"": ""in_force"", ""kp"": ""in_force"", ""balochistan"": ""in_force""}",,"Pakistan Code (pakistancode.gov.pk), Act No. VIII of 1939; https://pakistancode.gov.pk/pdffiles/administratorfb32d6015ae887e6d6b85018961842ea.pdf",2026-09-23
DMMA_1939,"Dissolution of Muslim Marriages Act, 1939",section,6,,DMMA_1939_SEC_6,Section 6,"[Repealed by the Repealing and Amending Act, 1942]","{""federal"": ""repealed"", ""punjab"": ""repealed"", ""sindh"": ""repealed"", ""kp"": ""repealed"", ""balochistan"": ""repealed""}",,"Pakistan Code (pakistancode.gov.pk), Act No. VIII of 1939; https://pakistancode.gov.pk/pdffiles/administratorfb32d6015ae887e6d6b85018961842ea.pdf",2026-09-23
